date,home_team,away_team,home_score,away_score,week,season
2024-09-05,Chiefs,Ravens,27,20,1,2024
2024-09-08,Bills,Cardinals,34,28,1,2024
2024-09-08,Bengals,Patriots,16,10,1,2024
2024-09-08,Cowboys,Browns,33,17,1,2024
2024-09-08,Eagles,Packers,34,29,1,2024
2024-09-08,49ers,Steelers,30,7,1,2024
2024-09-15,Ravens,Raiders,23,26,2,2024
2024-09-15,Chiefs,Bengals,26,25,2,2024
2024-09-15,Bills,Dolphins,31,10,2,2024
2024-09-15,Cowboys,Saints,19,44,2,2024
2024-09-15,Eagles,Vikings,28,34,2,2024
2024-09-15,49ers,Vikings,23,17,2,2024
2024-09-22,Chiefs,Falcons,22,17,3,2024
2024-09-22,Bills,Jaguars,47,10,3,2024
2024-09-22,Ravens,Cowboys,28,25,3,2024
2024-09-22,Eagles,Saints,15,12,3,2024
2024-09-22,49ers,Rams,27,24,3,2024
2024-09-22,Bengals,Commanders,38,33,3,2024
