team,games,wins,losses,ties,points_for,points_against,home_games,away_games,home_wins,away_wins,elo_rating,ppg,papg,point_diff,point_diff_per_game,win_pct
49ers,3,3,0,0,80,48,3,0,3,0,1533.9828697858634,26.666666666666668,16.0,32,10.666666666666666,1.0
Bengals,3,2,1,0,79,69,2,1,2,0,1511.5179200063076,26.333333333333332,23.0,10,3.3333333333333335,0.6666666666666666
Bills,3,3,0,0,112,48,3,0,3,0,1533.1309751090084,37.333333333333336,16.0,64,21.333333333333332,1.0
Browns,1,0,1,0,17,33,0,1,0,0,1488.4820799936924,17.0,33.0,-16,-16.0,0.0
Cardinals,1,0,1,0,28,34,0,1,0,0,1488.4820799936924,28.0,34.0,-6,-6.0,0.0
Chiefs,3,3,0,0,75,62,3,0,3,0,1533.5953718528306,25.0,20.666666666666668,13,4.333333333333333,1.0
Commanders,1,0,1,0,33,38,0,1,0,0,1488.4820799936924,33.0,38.0,-5,-5.0,0.0
Cowboys,3,1,2,0,77,89,2,1,1,0,1478.0820307595209,25.666666666666668,29.666666666666668,-12,-4.0,0.3333333333333333
Dolphins,1,0,1,0,10,31,0,1,0,0,1488.966203052017,10.0,31.0,-21,-21.0,0.0
Eagles,3,2,1,0,77,75,3,0,2,0,1503.3893572617174,25.666666666666668,25.0,2,0.6666666666666666,0.6666666666666666
Falcons,1,0,1,0,17,22,0,1,0,0,1489.4404681597846,17.0,22.0,-5,-5.0,0.0
Jaguars,1,0,1,0,10,47,0,1,0,0,1489.4207418452822,10.0,47.0,-37,-37.0,0.0
Packers,1,0,1,0,29,34,0,1,0,0,1488.4820799936924,29.0,34.0,-5,-5.0,0.0
Patriots,1,0,1,0,10,16,0,1,0,0,1488.4820799936924,10.0,16.0,-6,-6.0,0.0
Raiders,1,1,0,0,26,23,0,1,0,1,1519.9888842346563,26.0,23.0,3,3.0,1.0
Rams,1,0,1,0,24,27,0,1,0,0,1489.4569131176183,24.0,27.0,-3,-3.0,0.0
Ravens,3,1,2,0,71,78,2,1,1,0,1480.962881953806,23.666666666666668,26.0,-7,-2.3333333333333335,0.3333333333333333
Saints,2,1,1,0,56,34,0,2,0,1,1508.1285627445902,28.0,17.0,22,11.0,0.5
Steelers,1,0,1,0,7,30,0,1,0,0,1488.4820799936924,7.0,30.0,-23,-23.0,0.0
Vikings,2,1,1,0,51,51,0,2,0,1,1509.0443401548428,25.5,25.5,0,0.0,0.5
